from_unitid,to_unitid,rank,year
100751,159391,12,2016
100751,100724,13,2016
100751,217882,14,2016
100751,100706,15,2016
100751,221999,16,2016
100751,102049,17,2016
100751,101879,18,2016
100751,101480,19,2016
100751,199120,20,2016
100751,100654,21,2016
100751,135726,22,2016
100751,157085,23,2016
100751,228778,24,2016
100751,139940,25,2016
102368,100858,1,2016
102368,100751,2,2016
102368,100663,3,2016
102368,102094,4,2016
102368,101480,5,2016
102368,100830,6,2016
102368,100724,7,2016
102368,100654,8,2016
102368,101879,9,2016
102368,102049,10,2016
102368,102377,11,2016
102368,101709,12,2016
102368,100706,13,2016
102368,101435,14,2016
102368,101587,15,2016
102368,101286,16,2016
102368,101693,17,2016
102368,100937,18,2016
102368,134097,19,2016
102368,176080,20,2016
102368,101189,21,2016
102368,176372,22,2016
102368,138354,23,2016
102368,139959,24,2016
102368,102270,25,2016
102377,100654,1,2016
102377,100724,2,2016
102377,138947,3,2016
102377,131520,4,2016
102377,133650,5,2016
102377,141060,6,2016
102377,221838,7,2016
102377,232265,8,2016
102377,100858,9,2016
102377,160904,10,2016
102377,138716,11,2016
102377,199102,12,2016
102377,100663,13,2016
102377,100751,14,2016
102377,139940,15,2016
102377,159009,16,2016
102377,175856,17,2016
102377,140553,18,2016
102377,220181,19,2016
102377,102368,20,2016
102377,140960,21,2016
102377,132602,22,2016
102377,102270,23,2016
102377,100830,24,2016
102377,139959,25,2016
100663,100751,1,2016
100663,100858,2,2016
100663,102094,3,2016
100663,102368,4,2016
100663,100706,5,2016
100663,101480,6,2016
100663,100724,7,2016
100663,102049,8,2016
100663,100654,9,2016
100663,101879,10,2016
100663,100830,11,2016
100663,100937,12,2016
100663,176080,13,2016
100663,102377,14,2016
100663,139959,15,2016
100663,101709,16,2016
100663,101505,17,2016
100663,176017,18,2016
100663,221999,19,2016
100663,134130,20,2016
100663,221759,21,2016
100663,134097,22,2016
100663,139940,23,2016
100663,101587,24,2016
100663,139658,25,2016
100706,100663,1,2016
100706,100751,2,2016
100706,101879,3,2016
100706,100858,4,2016
