from,to,rank
137546,134079,10
138354,132903,1
138354,137351,2
138354,134130,3
138354,136172,4
138354,133669,5
138354,134097,6
138354,133951,7
138354,433660,8
138354,135726,9
138354,133650,10
138600,139658,1
138600,139959,2
138600,139940,3
138600,139311,4
138600,138716,5
138600,140960,6
138600,139366,7
138600,139144,8
138600,135726,9
138600,133492,10
138947,133650,1
138947,139940,2
138947,141060,3
138947,138716,4
138947,141264,5
138947,134097,6
138947,139366,7
138947,102377,8
138947,139959,9
138947,140553,10
139755,166683,1
139755,139959,2
139755,166027,3
139755,134130,4
139755,170976,5
139755,139940,6
139755,134097,7
139755,110635,8
139755,190415,9
139755,217882,10
139931,139959,1
139931,139940,2
139931,134097,3
139931,141264,4
139931,132903,5
139931,133669,6
139931,140164,7
139931,134130,8
139931,139366,9
139931,138947,10
139940,139959,1
139940,134097,2
139940,139658,3
139940,138947,4
139940,135726,5
139940,133951,6
139940,140164,7
139940,139931,8
139940,132903,9
139940,139755,10
139959,134130,1
139959,139940,2
139959,134097,3
139959,139658,4
139959,139931,5
139959,139755,6
139959,100858,7
139959,132903,8
139959,218663,9
139959,217882,10
140234,139940,1
140234,139658,2
140234,138716,3
140234,138600,4
140234,134945,5
140234,141264,6
140234,140960,7
140234,139764,8
140234,139861,9
140234,139311,10
140447,139959,1
140447,139658,2
140447,141264,3
140447,139940,4
140447,138947,5
140447,139861,6
140447,134097,7
140447,141060,8
140447,135726,9
140447,139144,10
140696,139940,1
140696,139658,2
140696,139144,3
140696,138600,4
140696,140164,5
140696,139959,6
140696,140960,7
140696,140553,8
140696,139311,9
140951,136774,1
140951,132903,2
140951,194578,3
140951,197151,4
140951,217493,5
140951,132338,6
140951,193900,7
140951,193654,8
140951,134811,9
140951,139959,10
141097,139755,1
141097,139959,2
141097,139931,3
141097,141334,4
141264,139940,1
141264,139959,2
141264,139931,3
141264,140164,4
141264,139366,5
141264,138947,6
141264,138716,7
141264,140447,8
141264,139764,9
141264,139861,10
141334,139940,1
141334,139959,2
141334,141264,3
141334,139931,4
141334,176372,5
141334,139144,6
141334,138789,7
141334,135726,8
141334,140164,9
141334,176017,10
141565,141574,1
141565,141644,2
141565,135726,3
141565,122436,4
141565,122409,5
141565,134097,6
141565,243744,7
141565,138354,8
141565,110583,9
141565,133881,10
141574,141644,1
