from,to,rank
101569,101240,23
101569,101709,24
101569,101949,25
101602,102368,1
101602,101143,2
101602,101286,3
101602,101499,4
101602,101949,5
101602,101994,6
101602,102067,7
101602,100830,8
101602,101301,9
101602,101295,10
101602,102094,11
101602,102429,12
101602,100858,13
101602,136233,14
101602,101161,15
101602,100663,16
101602,434584,17
101602,101435,18
101602,101189,19
101602,100760,20
101602,136473,21
101602,101505,22
101602,107743,23
101602,101453,24
101602,100724,25
101648,187912,1
101648,,2
101648,234085,3
101648,217864,4
101648,,5
101648,197036,6
101648,130624,7
101648,164155,8
101648,230995,9
101648,384388,10
101648,128328,11
101648,197027,12
101648,100751,13
101648,100858,14
101648,384360,15
101648,100830,16
101648,166692,17
101648,161299,18
101648,176017,19
101648,111188,20
101648,100724,21
101648,223117,22
101648,221838,23
101648,102368,24
101648,423476,25
101675,100724,1
101675,100654,2
101675,102270,3
101675,102377,4
101675,101569,5
101675,100663,6
101675,101480,7
101675,101073,8
101675,102298,9
101675,138947,10
101675,221838,11
101675,138716,12
101675,175856,13
101675,102368,14
101675,133650,15
101675,100751,16
101675,102094,17
101675,140960,18
101675,100706,19
101675,100830,20
101675,140720,21
101675,101587,22
101675,100937,23
101675,159009,24
101675,132602,25
101897,102076,1
101897,101240,2
101897,100706,3
101897,101480,4
101897,100751,5
101897,101949,6
101897,100858,7
101897,100663,8
101897,101879,9
101897,100760,10
101897,101295,11
101897,219824,12
101897,100812,13
101897,100654,14
101897,100937,15
101897,139144,16
101897,101587,17
101897,434584,18
101897,140988,19
101897,102094,20
101897,107974,21
101897,100830,22
101897,102049,23
101897,221740,24
101897,101499,25
101736,101879,1
101736,101295,2
101736,100706,3
101736,101514,4
101736,102429,5
101736,100751,6
101736,100663,7
101736,102067,8
101736,102368,9
101736,100812,10
101736,101569,11
101736,100760,12
101736,100858,13
101736,101480,14
101736,176169,15
101736,176080,16
101736,102270,17
101736,100724,18
101736,101587,19
101736,100830,20
101736,219888,21
101736,101240,22
101736,101505,23
101736,102076,24
101736,100937,25
101912,168740,1
101912,221661,2
101912,162210,3
101912,228468,4
101912,117627,5
101912,133872,6
101912,236896,7
101912,100654,8
101912,131520,9
101912,120865,10
101912,141060,11
101912,164571,12
101912,102377,13
101912,100706,14
101912,117636,15
101912,138947,16
101912,100724,17
101912,181738,18
101912,101675,19
101912,102298,20
101912,102270,21
101912,166027,22
101912,101073,23
101912,102049,24
101912,101189,25
101994,101499,1
101994,101602,2
101994,,3
101994,434584,4
101994,,5
101994,101161,6
101994,101569,7
101994,102368,8
101994,107743,9
101994,101453,10
101994,106810,11
101994,100690,12
101994,136473,13
101994,107521,14
101994,101949,15
101994,107619,16
101994,141802,17
101994,102313,18
101994,106795,19
101994,107974,20
101994,107318,21
101994,106625,22
101994,107549,23
101994,106883,24
101994,101143,25
102049,100858,1
102049,100751,2
102049,100663,3
102049,100937,4
102049,219709,5
102049,102368,6
102049,101709,7
102049,101480,8
102049,102094,9
102049,139959,10
102049,221999,11
102049,101879,12
102049,221759,13
102049,100706,14
102049,176017,15
102049,218070,16
102049,176080,17
102049,101693,18
102049,139144,19
102049,221971,20
102049,140447,21
102049,219976,22
102049,100830,23
102049,101189,24
102049,101435,25
102058,101675,1
102058,101073,2
102058,101912,3
102058,102270,4
102058,100724,5
102058,141060,6
102058,101480,7
102058,138716,8
102058,100654,9
102058,138947,10
102058,139940,11
102067,100751,1
102067,101587,2
102067,102429,3
102067,100663,4
102067,101569,5
102067,102368,6
102067,101505,7
102067,101480,8
102067,102270,9
102067,102094,10
102067,101301,11
102067,100858,12
102067,101879,13
102067,100724,14
102067,101949,15
102067,101675,16
102067,100654,17
102067,176080,18
102067,102049,19
102067,101295,20
102067,100706,21
102067,101709,22
102067,100830,23
102067,100937,24
102067,101240,25
102076,101240,1
102076,101480,2
102076,101295,3
102076,101897,4
102076,100706,5
102076,101879,6
102076,100663,7
102076,100751,8
102076,101709,9
102076,100858,10
102076,102368,11
102076,102049,12
102076,101505,13
102076,102429,14
102076,101435,15
102076,102067,16
102076,102094,17
102076,101949,18
102076,100937,19
102076,100812,20
102076,101514,21
102076,101587,22
102076,100830,23
102076,101541,24
102076,101286,25
102261,102049,1
102261,124487,2
102261,101693,3
102261,127954,4
102261,101541,5
102261,101189,6
102261,139393,7
102261,138868,8
102261,103787,9
102261,100937,10
102261,133085,11
102261,100663,12
102261,107600,13
102261,141237,14
102261,139205,15
102261,175421,16
102261,110918,17
102261,102669,18
102261,139630,19
102261,101709,20
102261,132408,21
102261,117104,22
102261,141185,23
102261,102368,24
102261,106713,25
251260,100858,1
251260,100760,2
251260,102368,3
251260,101480,4
251260,100830,5
251260,100663,6
251260,101028,7
251260,101240,8
251260,100751,9
251260,139366,10
251260,102094,11
251260,101189,12
251260,100724,13
251260,102313,14
251260,101435,15
251260,102049,16
251260,101569,17
251260,101505,18
251260,102067,19
251260,139357,20
251260,101879,21
251260,101587,22
251260,100937,23
251260,101693,24
251260,141334,25
102234,102094,1
102234,101693,2
102234,159656,3
102234,102368,4
102234,100663,5
102234,100751,6
102234,100858,7
102234,100937,8
102234,160755,9
102234,176372,10
102234,175980,11
102234,102049,12
102234,159391,13
102234,221351,14
102234,100830,15
102234,101189,16
102234,102377,17
102234,101480,18
102234,100654,19
102234,101709,20
102234,102030,21
102234,101435,22
102234,100724,23
102234,221519,24
102234,100706,25
102270,100654,1
102270,100724,2
102270,101675,3
102270,102377,4
102270,100751,5
102270,100663,6
102270,102368,7
102270,101480,8
102270,102094,9
102270,138947,10
102270,100706,11
102270,138716,12
102270,100830,13
102270,102298,14
102270,221838,15
102270,101587,16
102270,175856,17
102270,101569,18
102270,100937,19
102270,133650,20
102270,141060,21
102270,102067,22
102270,101879,23
102270,100858,24
102270,140960,25
102298,100654,1
102298,101675,2
102298,100724,3
102298,102377,4
102298,102270,5
102298,101073,6
102298,101480,7
102298,101569,8
102298,102368,9
102298,138947,10
102298,176406,11
102298,100706,12
102298,218399,13
102298,138716,14
102298,175856,15
102298,140720,16
102298,159009,17
102298,140960,18
102298,176318,19
102298,133650,20
102298,199643,21
102298,102094,22
102298,100663,23
102298,100937,24
102298,100830,25
100751,100858,1
100751,100663,2
100751,139959,3
100751,176017,4
100751,134130,5
100751,221759,6
100751,102368,7
100751,134097,8
100751,102094,9
100751,176080,10
100751,218663,11
100751,159391,12
100751,100724,13
100751,217882,14
100751,100706,15
100751,221999,16
100751,102049,17
100751,101879,18
100751,101480,19
100751,199120,20
100751,100654,21
100751,135726,22
100751,157085,23
100751,228778,24
100751,139940,25
102368,100858,1
102368,100751,2
102368,100663,3
102368,102094,4
102368,101480,5
102368,100830,6
102368,100724,7
102368,100654,8
102368,101879,9
102368,102049,10
102368,102377,11
102368,101709,12
102368,100706,13
102368,101435,14
102368,101587,15
102368,101286,16
102368,101693,17
102368,100937,18
102368,134097,19
102368,176080,20
102368,101189,21
102368,176372,22
102368,138354,23
102368,139959,24
102368,102270,25
102377,100654,1
102377,100724,2
102377,138947,3
102377,131520,4
102377,133650,5
102377,141060,6
102377,221838,7
102377,232265,8
102377,100858,9
102377,160904,10
102377,138716,11
102377,199102,12
102377,100663,13
102377,100751,14
102377,139940,15
102377,159009,16
102377,175856,17
102377,140553,18
102377,220181,19
102377,102368,20
102377,140960,21
102377,132602,22
102377,102270,23
102377,100830,24
102377,139959,25
100663,100751,1
100663,100858,2
100663,102094,3
100663,102368,4
100663,100706,5
100663,101480,6
100663,100724,7
100663,102049,8
100663,100654,9
100663,101879,10
100663,100830,11
100663,100937,12
100663,176080,13
100663,102377,14
100663,139959,15
100663,101709,16
100663,101505,17
100663,176017,18
100663,221999,19
100663,134130,20
100663,221759,21
100663,134097,22
100663,139940,23
100663,101587,24
100663,139658,25
100706,100663,1
100706,100751,2
100706,101879,3
100706,100858,4
100706,100654,5
100706,102094,6
100706,101480,7
100706,100724,8
100706,102368,9
100706,100830,10
100706,101514,11
100706,102049,12
100706,100937,13
100706,101709,14
100706,102377,15
100706,176080,16
100706,101587,17
100706,102270,18
100706,221759,19
100706,101295,20
100706,139755,21
100706,101675,22
100706,221740,23
100706,221838,24
100706,139940,25
101693,102094,1
101693,102368,2
101693,100751,3
101693,102234,4
101693,102049,5
101693,100858,6
101693,100663,7
101693,101189,8
101693,101435,9
101693,101587,10
101693,101709,11
101693,102030,12
101693,100830,13
101693,101879,14
101693,101480,15
101693,176372,16
101693,100724,17
101693,101161,18
101693,100654,19
101693,100937,20
101693,100706,21
101693,138354,22
101693,102377,23
101693,176479,24
101693,102270,25
101709,100663,1
101709,100751,2
101709,101879,3
101709,100858,4
101709,102368,5
101709,102049,6
101709,101480,7
101709,102094,8
101709,100937,9
101709,100706,10
101709,101505,11
101709,101587,12
101709,100830,13
